death_count_deaths_total,case_count_cases_total,date_of_interest_date
0,1,02/29/2020
0,1,03/01/2020
0,0,03/02/2020
0,2,03/03/2020
0,5,03/04/2020
0,3,03/05/2020
0,8,03/06/2020
0,7,03/07/2020
0,21,03/08/2020
0,58,03/09/2020
0,70,03/10/2020
1,154,03/11/2020
0,357,03/12/2020
0,620,03/13/2020
2,644,03/14/2020
5,1035,03/15/2020
9,2123,03/16/2020
8,2455,03/17/2020
20,2983,03/18/2020
24,3714,03/19/2020
46,4014,03/20/2020
44,2639,03/21/2020
50,2582,03/22/2020
82,3569,03/23/2020
94,4504,03/24/2020
120,4846,03/25/2020
186,5025,03/26/2020
212,5100,03/27/2020
265,3466,03/28/2020
285,3533,03/29/2020
322,6122,03/30/2020
372,5446,03/31/2020
431,5447,04/01/2020
487,5761,04/02/2020
485,5672,04/03/2020
488,3867,04/04/2020
569,3786,04/05/2020
565,6374,04/06/2020
589,6064,04/07/2020
547,5581,04/08/2020
539,5070,04/09/2020
519,4515,04/10/2020
528,3729,04/11/2020
556,2884,04/12/2020
550,3309,04/13/2020
507,4143,04/14/2020
438,3874,04/15/2020
400,3524,04/16/2020
367,3577,04/17/2020
363,2167,04/18/2020
375,2344,04/19/2020
350,3785,04/20/2020
305,3061,04/21/2020
299,3457,04/22/2020
309,2842,04/23/2020
299,2538,04/24/2020
244,1595,04/25/2020
231,1003,04/26/2020
258,2286,04/27/2020
218,2727,04/28/2020
230,2342,04/29/2020
210,2017,04/30/2020
205,1880,05/01/2020
186,1058,05/02/2020
167,785,05/03/2020
150,1546,05/04/2020
142,1511,05/05/2020
140,1401,05/06/2020
132,1230,05/07/2020
122,1085,05/08/2020
98,660,05/09/2020
93,459,05/10/2020
97,1230,05/11/2020
88,1284,05/12/2020
73,1327,05/13/2020
65,1111,05/14/2020
85,872,05/15/2020
77,490,05/16/2020
73,361,05/17/2020
54,901,05/18/2020
51,1006,05/19/2020
76,1069,05/20/2020
44,1067,05/21/2020
62,1061,05/22/2020
56,464,05/23/2020
47,479,05/24/2020
45,464,05/25/2020
35,1052,05/26/2020
48,753,05/27/2020
35,631,05/28/2020
43,649,05/29/2020
53,346,05/30/2020
41,215,05/31/2020
34,663,06/01/2020
37,576,06/02/2020
39,510,06/03/2020
33,511,06/04/2020
26,407,06/05/2020
34,245,06/06/2020
30,196,06/07/2020
37,441,06/08/2020
33,422,06/09/2020
33,357,06/10/2020
18,349,06/11/2020
23,398,06/12/2020
17,185,06/13/2020
27,171,06/14/2020
17,305,06/15/2020
20,323,06/16/2020
19,236,06/17/2020
14,205,06/18/2020
7,122,06/19/2020
7,37,06/20/2020
0,8,06/21/2020
0,132,
0,1,
0,1,
0,1,
0,3,
0,3,
0,3,
0,5,
0,11,
0,12,
0,21,
0,32,
0,31,
0,40,
1,78,
1,96,
1,165,
2,186,03/19/2020
0,154,03/20/2020
2,125,03/21/2020
2,168,03/22/2020
3,292,03/23/2020
2,354,03/24/2020
5,367,03/25/2020
2,416,03/26/2020
8,404,03/27/2020
4,252,03/28/2020
21,281,03/29/2020
12,441,03/30/2020
16,486,03/31/2020
24,459,04/01/2020
15,437,04/02/2020
24,463,04/03/2020
22,322,04/04/2020
26,293,04/05/2020
22,579,04/06/2020
25,544,04/07/2020
35,693,04/08/2020
25,575,04/09/2020
31,557,04/10/2020
33,391,04/11/2020
33,333,04/12/2020
33,678,04/13/2020
34,646,04/14/2020
31,614,04/15/2020
31,670,04/16/2020
41,757,04/17/2020
37,527,04/18/2020
36,457,04/19/2020
38,974,04/20/2020
34,858,04/21/2020
45,1037,04/22/2020
34,1441,04/23/2020
51,1058,04/24/2020
39,616,04/25/2020
49,425,04/26/2020
35,1137,04/27/2020
54,1285,04/28/2020
42,1139,04/29/2020
37,1250,04/30/2020
38,1149,05/01/2020
50,704,05/02/2020
42,452,05/03/2020
49,1126,05/04/2020
57,1078,05/05/2020
44,964,05/06/2020
48,932,05/07/2020
43,924,05/08/2020
50,522,05/09/2020
39,305,05/10/2020
40,1010,05/11/2020
46,939,05/12/2020
43,870,05/13/2020
43,767,05/14/2020
50,986,05/15/2020
29,505,05/16/2020
41,328,05/17/2020
33,940,05/18/2020
27,884,05/19/2020
29,768,05/20/2020
34,797,05/21/2020
34,709,05/22/2020
27,322,05/23/2020
27,281,05/24/2020
21,252,05/25/2020
22,734,05/26/2020
25,588,05/27/2020
22,508,05/28/2020
19,460,05/29/2020
19,231,05/30/2020
22,120,05/31/2020
19,233,06/01/2020
23,247,06/02/2020
20,275,06/03/2020
14,282,06/04/2020
18,311,06/05/2020
20,164,06/06/2020
17,109,06/07/2020
15,218,06/08/2020
20,225,06/09/2020
9,207,06/10/2020
9,180,06/11/2020
20,199,06/12/2020
17,122,06/13/2020
11,90,06/14/2020
19,192,06/15/2020
11,180,06/16/2020
18,150,06/17/2020
12,113,06/18/2020
13,133,06/19/2020
7,72,06/20/2020
0,9,06/21/2020
,,06/22/2020
,,06/23/2020
